,app detail,value
34,screenshots,"['https://play-lh.googleusercontent.com/zNteEAWnOwZ9rSewvLziSgcK-jApPMf3SouV8e0aaDpSq71IKa82_PSguI63CWEjV2M', 'https://play-lh.googleusercontent.com/lMbdwtu9mb66J9xRxxYH9vtobiZl_cnGfnHhguDkKb9LxJQUAS_UtaYzI8K0NS5QftE', 'https://play-lh.googleusercontent.com/y5GT4zTZ3YXHhv3QtBncGfY2pkhRMI2mKPbCZZFdt6TFWTze2cLXZyg7mB2LK0eFDi0', 'https://play-lh.googleusercontent.com/U9XY-94HuDW-2cxBLFIhi36A4JRt9Ms6dY7ub0Rf3iemw3YQQCobsNauAqDPebdKhuWU', 'https://play-lh.googleusercontent.com/MRZKshNGEi-wVk53EtE9bTp_I-9CgYcs-f_90AZSVEQpCcnTYV46IWSyekPJY25SZg', 'https://play-lh.googleusercontent.com/-QHfi5H3KIRHqdoDCFDnUufTnXEBsEv3XVOBciwG3mbez3VlkLHeYzkyg2RPiFNm2w', 'https://play-lh.googleusercontent.com/vOSF2p-5kGwniGEuEgHosf5OqpDpkgAbgvKSIeFbTQP7l9Lsil66JcBspO3GOgrIfB8', 'https://play-lh.googleusercontent.com/dj-LDG9XEV8JwOCrd83jLE3zQ1SWEV3voBh5PpQp0vJrM_JTFcOq1Ll2mRb6Hws3wScI', 'https://play-lh.googleusercontent.com/Xw_XXywJEKl4M07s5ypywlRXs0AvxN7z_UEFC6tKkouqHrfZhZOVjioia24l9FdoZtw', 'https://play-lh.googleusercontent.com/rww2HBAUfiFAQkMJYXSCxPdyB6Rn5GQOP8AOQdff7MNE8tOwyI64zKv2nAy_GrzsxLE', 'https://play-lh.googleusercontent.com/kF9KmUnlwtt9KYqa6AbF3BhwZp0v9K-4w6084QVVSY8AqL5ZQKC_kQ_WcCMX9hLxEYk', 'https://play-lh.googleusercontent.com/uu_ARWvPuak3dYmbAigXQjQB0KuSRZUKc19uitq1LqZG7IqI3dcy7LOxZoNLQdDD7m0', 'https://play-lh.googleusercontent.com/IfK_gtt2K5WNnQoxF--XaklYaPvgR4SGln9QXycCgeUeB3E_nYb8bzlnAv5rQjPhJZVr', 'https://play-lh.googleusercontent.com/jEM-pd1SnU9jW5qtrsYT3v-6x0pDkZBuEdQ6keK9sA-zMvHUVlixu1ExOPaxe4l95u8']"
35,video,
36,videoImage,
37,contentRating,Everyone
38,contentRatingDescription,
39,adSupported,
40,containsAds,False
41,released,"Feb 7, 2012"
42,updated,1650393064
43,version,Varies with device
44,recentChanges,Thanks for choosing Chrome! This release includes stability and performance improvements.
45,recentChangesHTML,Thanks for choosing Chrome! This release includes stability and performance improvements.
46,comments,"[""I love Google Chrome due to it's easy access, ability to go into desktop mode, etc... But, lately, whenever I attempt at opening Chrome, it's a blank screen for several minutes, and once it does finally load, I can't search up anything. All of my other apps work smoothly, my internet connection is fine. Please fix this. Thank you so much."", 'At some point in the last couple of months, Chrome has gone nuts. I will be scrolling and everything will be going smoothly, but as soon as I click on a picture or a link, everything freezes, then my phone gives me that ""Chrome is not responding"" notice where I can choose to wait or just close the app. I have tried doing cleanup of data, cache, etc. but that doesn\'t seem to have made ANY change.', ""I have always used this as my web browser. Never questioned it. However... Recently whenever I'm using another app with this one not even open it opens the app and a webpage. There are different webpages it opens to. I close out the pages and then close the app but it continues to do it.... Alot!! I've tried clearing the cash and whatever else. I've tried to uninstall it but that isn't possible because it was already on the phone.. I really do not want to lose any information linked to chrome."", ""Can't get rid of white bar along the right side of the browser. Doesn't happen with any other browser. This used to be my fave browser but it just gets worse with no real innovation. Switching to a less intrusive browser that actually works. Also need to get rid of the tabs. It makes it harder to switch between open screens and find the one im looking for. I end up just using multiple windows like before.. Also please provide a better way to organize/delete bookmarks."", ""I've used this browser for years with minimal problems. It has everything & is fast. The only issue I have with chrome is with the password manager - when it tells you that there's a breach. So, you change the password quickly on the account with the breech but it still shows as a breach and if you've used that password for others, it will show breeches in all those other sites even though there isn't. Make sure you cancel/delete unused accounts."", ""Uninstalling. It's sad really, worked fine until the last update. Uses so much data now, pop-ups every time I try to do anything. Even turning those options off doesn't even work or aren't available. The app turns the options back on itself. It's so broken now. Absolutely horrible. Oh wait... Apperently, I can't uninstall. What the heck is up with that??? 😡"", ""Chrome has been a so-so browser over the years. I've used it mostly put of habit. It seems I'll be needing to work to consciously change that habit, though, given how horrible the last several updates have mangled this app. I'm constantly getting freezing/crashing, issues scrolling, pages with very little data usage (as in purely text that should have no problem loading on an LTE network, let alone the 5G I have) stuttering and reloading every two seconds. A lot of issues. Fix this, please."", ""It always freezes my phone up since I have updated it and my phone. Update: I have done all that and cleared the caches and all.. I did make sure it is up to date. Nothing seems to fix it. After reading all these comments it seems that the problem is getting worse with every update. It's like y'all fix one thing and forget about the minor details which is what makes a great app. It's always something with chrome, I like the app but with the freezing and Google results are not showing everything"", 'It refuses to update. I press the button to update and it cancels out every time. Passwords get hacked. I erase all my history yet it still knows where I have been. I have tons of security issues with it. I hate Fi as it is spotty in the same exact place. Chrome wants to own you by having everything Google just like Amazon. It has some major flaws though. I refuse to save payment info and passwords that could cost me if compromised. They need something better and not a monopoly or close to it.', 'In the last month or so Chrome will not load websites or search results, it just hangs there. If I tap on one of the quick results in-line, nothing happens. Only a reboot fixes this temporarily but after the system has been up for an hour or two this problem starts happening. Clearing cache/data hasnt fixed. Have had to use the Samsung browser ugh.', 'The past few days this app hasnt been working very well, if I try to open it. It\'s just a blank screen and I can\'t look anything up or it just takes forever to load and as soon as you see things pop up. You get the ""chrome isn\'t responding"" and let\'s you choose to close it out or wait, it ran so smoothly before whatever is going on I miss using Google because it\'s where I get my answers from when I wanna know things. Please try fixing this soon, I\'ve tried resetting doesn\'t work...', ""Chrome won't load on Samsung S20fe. All other apps on phone load with no problems. Update 3/29/2022. I started having problems with Chrome on my S20fe a few days ago. I did everything you guys told me to try. Cleared the cache, cleared the data, force stopped the app, and everything else. It didn't work. Today, I got an update notice for Chrome. I updated, but it hasn't worked either. Now, I understand Chrome has some security issues. It makes me wonder. Thanks much. Steve."", ""I loved Chrome until recently. Somehow, every single day I get an emergency alert to high data usage and high battery usage for Chrome. Last month, our phone bill literally was doubled, with no change in our usage habits. It doesn't matter that I have mobile data turned off; apparently, Chrome is able to override my decisions. The help articles are so convoluted & self-contradictoy. Until this is resolved & simple instructions for doing so are available to us, I am looking for a new browser."", 'Used to be great, but now... Not so much. It seems to pick up on one keyword and then it just shows you everything except what you are looking for. For example, why would I want to see a bunch of places to buy a ac window unit when all I asked was the best way to get it upstairs?? This applies to pretty much everything I try to search. It gives you everything you don\'t need, and none of what you do. Firefox or Goduckgo are so much better at ""listening"" and give relevant results.', ""Good everyday browser. Like the bookmar ks though I have lost some when switching phones at times. Of course it is geared towards Google, and at times I have to dig through results to get technical info, but for everyday things it is comparable to other browsers I used. I haven't tried a new one for a few years, and it's 2022, so that should be considered, but some of my bookmarks are so old I don't want to start over honestly."", ""They took away the ability to swipe suggested articles off the page, and have made what was a top notch product very clumsy and useless. They have removed the back button, so now when you search and click on one of the results and find it didn't answer your question you can't go back you have to search again, it is a sleazy way for them to get more searches, what a waste of time."", ""Chrome is always my saving grace. Sometimes, I am forced to use another because of associations with other apps or programs that i use with school. Y'all know what I'm talking about! Anyway, it's always a fail. The same routine of problems begin, computer slows, freezes..... You know the routine. Chrome never fails me! I never have any problems with Chrome. Search results are always relevant and dependable as well. I actually feel comfort when switching back. Thank you guys!"", ""I've had absolutely no issue with chrome in all the time I've used it - and yes I remember when it first came out - but this latest update has gotten rid of one of the most convenient things this browser had for the phone! Grouping tabs together and having them in thumbnail format. I have multiple tabs open all the time and having them as little thumbnails made swapping between them extremely easy. And now, with the tabs laid out in a long list, it is extremely irritating to put it mildly."", 'I typically have no issues with the app, but this update seems to have broken it (though it was fine at first). For a few days now whenever I try to use it, whether clicking a link, opening the app directly, or using the new tab shortcut, it tries to open and then immediately closes, sometimes giving me the ""keeps closing"" pop-up. I downloaded the beta app, but I hate it because it doesn\'t have tab groups (I\'m one of the few who love them). Clearing the cache, restarts, etc. have not helped.', ""EDIT: THIS IS AN INFERIOR VERSION OF CHROME. It has so much wrong. It freezes, it force closes at times, and the Bookmark section is a massive downgrade. It's more infuriating than useful. This doesn't allow you to sort bookmarks alphabetically, making it frustrating because all you have is editing names and moving them down. And the worst part is, it's stuck onto your phone without you even approving. If you don't have Chrome, you're in the clear."", 'This application has crashed nearly 60 times today, after one update. I\'ve never had any problems with pages randomly failing to load and crashing out of nowhere. Just now, I\'ve had 27 ""Aw, Snap!""errors in a row. Earlier, it was over 30. I\'ve tried restarting both the app and my $1,300 Android phone, and it crashes on practically all sites.', 'I love Google chrome. This has always been my go to on phones and computers. Simple to adjust privacy settings to meet your needs and wants. I love the auto fill for names, address, cards, and passwords I\'d be lost without chrome. I honestly don\'t understand the whole ""tab"" problem it\'s quite easy to use when you know how to use it. Heck I\'m sure there would probably be 1 or 2 search results if you asked it how to work tabs. Any other browser definitely doesn\'t compare. Thank you!', 'Chome usually secure has been allowing some type of remote hacking of my accounts. I\'ve been unable to view my accounts since some messages say ""already logged in"". Other times I get login loops with peculiar cursor movement, like a keylogger. Or the logged in apps shut down so I have to runinstall and reload the app to be able to use it. Also constant issues of Bluetooth turning on, and I constantly have to turn it off. So, I learned this is from cognitive radio technologies using Bluetooth.', 'Fix this update. Ever since update can\'t use chrome for anything. Won\'t let you erase words it will do this stuff for example ""freakfreak"" have to reload page numerous times for the page to work and not be frozen. I even uninstalled it and reinstalled it and lost all of my bookmarks and passwords even though I had it to where they were synced with my Google account. Very unhappy', ""At some point recently with updates, something got screwed up because it won't even work for me anymore, just opens to the logo and won't move, or just goes to a black screen. I've cleared the cache and all of that and still no luck. Super frustrating and looking like I'll have to change everything to another browser."", ""I wanted to give it a 1☆. However, rather than base my review on only the negative (which rn can be quite easy to do) I'm basing it off of the past 8-9 years. I haven't had many problems with it, but this time I was really frustrated. I have memory problems. So I like to keep web pages open (40+ approx. & bookmarks won't help b.c I have to remember which one to look up). Then, after the update all pages & the browser icon are gone. Just an FYI If this happens to you Uninstall and reinstall."", ""My main issue with Google Chrome is the group tabs feature. The feature itself is great, but if the chrome app decides to lag and you somehow click the x to close out hundreds of tabs, you might have just screwed yourself over. If you have one tab with hundreds of sub-tabs and the undo button decides that is doesn't want to work, you've just lost all of that history. From what I've seen so far, Google doesn't have a group tab recovery. If there's really a fix, I will update this review.l after."", ""So I have brand new Motorola phone and all the sudden it started opening up by itself to a new tab and it does it all the time now I have ran virus cleaners on it and they've all said there's no virus I'll be doing something and all of a sudden Chrome pops up some page that I haven't even opened before, so I had to disable it because it's a constant. Now I'm going to have to download another browser. pretty disappointed!"", ""I cannot complain about one single feature found within this browser. Perhaps with its automatic autofill and seamless interface with all the other Google apps, capable of accessing all those gazillion bits of data that make using Chrome such a personal experience tailored to your taste and lifestyle, it's easy to overlook everything that it's got under the hood. If I did complain about anything, which I won't because it serves me, it's the fact that it knows me so well and then stores it all."", ""Chrome is the browser I typically turn to for the important stuff. After latest update I'm getting lots of lag and even crashes on my N10+. I'm sure this is already being addressed. Google is taking leaps and bounds in tightening things up while keeping true to an open source platform."", 'When you download something it doesnt stores it on your default downloads instead in a very deep folder of your device wich isnt findable by your device and only can be accessed with root for example any audio doesnt show in the music reproducer. Garbage! Every file you download its corrupt. This app is totally SHIIIIIT. Also it all the time freezes without a reason.', ""Majority of sites keep loading weird (not adjusting to mobile phone)- requiring me to enable desktop view to actually read the full sentences and access the entire page... other sites don't load properly, glitch, take a long time (everything else including other browsers work fine, and internet/ data is good), or don't load at all. I have used Chrome for years- this has been recent over the last few months.. Assumed it was just me until seeing others have mentioned the same issues..."", ""I prefer Google to any other browser because of its cross platform compatibility. My only complaint is that the grouped tabs feature seems to come and go, currently it's not grouped and it's frustrating because I have a lot of tabs I keep open at once (60 currently) and I love being able to group them for ease of use. Please fix this feature and make it stable."", ""It serves a most unusual purpose.. for Me. But it's perfect for what I want it for. Excellent work Software/Cyber Security/ QC Teams. Could you add a way where when I connect 2nd acc. to chrome it has a setting to block all cookies entirely. I only require Bookmarks, and theme preferences, AND auto import of my extensions. Love this app. Perhaps ponder with a group brainstorming session into just how amenities can be implemented. Like I want no trace when I use this app. I'm super introverted;)"", 'Keeps crashing now. Especially when creating new tabs or switching back and forth between tabs. It like the tab box where you type gets sucked up into the top part of the screen where the time, battery percentage and data connection icons are. When that happens you must close everything. Can be immensely frustrating and inefficient for both work and casual web browsing. In all honesty, this sucks and had not been an issue until around January 2022.', ""The settings they allow you to modify to keep your privacy are extremely limited, and based on Google overall TOS they can still record, track, analyze, and de-anonamize you and every action you take while using Chrome. Because of this, I only use Chrome when I am accessing content that I specifically want Google to associate. If it wasn't for the convenience of the new tabbed browsing I wouldn't use Chrome at all except out of absolute necessity. Please add a truly anonymous browsing option!"", ""I just lost the hundreds of tabs I had open. I never had this happen. I have no way to get them back without going through SEVEN months of browser history. On my phone. At least my computer has an extension that saves open tabs, I don't lose anything when Chrome crashes there. Whatever update was just done, needs fixed. Trust me, I did not intentionally nor accidentally close all the tabs."", 'When on a webpage, the page keeps jumping upwards (twrds top of the pg) in the script I\'m reading. Seems to have something to do with ads placed on the webpage bc whenever I get to an ad showing ""on the screen"", the page is steady. However, once I scroll PAST the ad, the screen continuously jumps back upward & will continue to do so until the previous, or next ad, appears ""on the screen"". PLEASE fix this!! Aggrevating!!', 'Chrome has been draining the battery on my Samsung Galaxy S3 tablet at a very high rate since the 1/19/22 update. It also refuses to ""force stop"" now, is very slow to respond (takes easily 5 times as long to open web pages), and has a drop down banner every time I download something that stays on the screen for 30 seconds and covers the address bar making the app completely useless. Please fix this immediately. I really don\'t want to have to make the switch to iPad!', ""Update! It would be so incredible and crazy useful if a user could search for a specific open tab. Using search in History or Cache, it just doesn't give the results needed. It opens a new tab instead of taking the user to the tab or group of tabs for which you're looking. I have several tabs open & grouped together in multiple windows. It's very time consuming to search out a specific tab in a specific window. HELP! 10/30/19 Love Google chrome! I don't use anything else. It's really good.""]"
47,editorsChoice,False
48,similarApps,"['com.sec.android.app.sbrowser', 'com.chrome.beta', 'org.mozilla.firefox', 'com.opera.mini.native', 'com.opera.browser']"
49,moreByDeveloper,
50,appId,com.android.chrome
51,url,https://play.google.com/store/apps/details?id=com.android.chrome&hl=en&gl=us
